Asset,Name,Ticker,Date,Open,High,Low,Close,Volume
AAPL,Apple Inc.,AAPL,2025-04-28,209.0887,210.5822,206.5597,209.2281,38743100
AAPL,Apple Inc.,AAPL,2025-04-29,207.7844,211.319,207.4658,210.2935,36827600
AAPL,Apple Inc.,AAPL,2025-04-30,208.3917,212.6532,205.7731,211.5779,52286500
AAPL,Apple Inc.,AAPL,2025-05-01,208.1727,213.6289,207.9935,212.3943,57365700
AAPL,Apple Inc.,AAPL,2025-05-02,205.1957,206.0918,201.2827,204.4589,101010600
AAPL,Apple Inc.,AAPL,2025-05-05,202.2187,203.2143,197.3499,198.0269,69018500
AAPL,Apple Inc.,AAPL,2025-05-06,197.3499,199.7793,196.165,197.6486,51216500
AAPL,Apple Inc.,AAPL,2025-05-07,198.3057,198.5745,192.4114,195.3984,68536700
AAPL,Apple Inc.,AAPL,2025-05-08,196.862,199.1819,193.8352,196.633,50478900
AAPL,Apple Inc.,AAPL,2025-05-09,198.1364,199.6698,196.6828,197.6685,36453900
AAPL,Apple Inc.,AAPL,2025-05-12,210.3299,210.629,206.1227,210.1505,63775800
AAPL,Apple Inc.,AAPL,2025-05-13,209.7916,212.7526,208.3659,212.284,51909300
AAPL,Apple Inc.,AAPL,2025-05-14,211.7855,213.2909,209.9411,211.6858,49325800
AAPL,Apple Inc.,AAPL,2025-05-15,210.31,212.3139,208.9043,210.8085,45029500
AAPL,Apple Inc.,AAPL,2025-05-16,211.7157,211.9251,209.1336,210.6191,54737900
AAPL,Apple Inc.,AAPL,2025-05-19,207.2792,208.8445,203.6403,208.1466,46140500
AAPL,Apple Inc.,AAPL,2025-05-20,207.04,207.8375,204.408,206.2324,42496600
AAPL,Apple Inc.,AAPL,2025-05-21,204.5476,206.4119,200.1011,201.4769,59211800
AAPL,Apple Inc.,AAPL,2025-05-22,200.1011,202.1349,199.0941,200.7491,46742400
AAPL,Apple Inc.,AAPL,2025-05-23,193.0824,197.1002,192.8731,194.6776,78432900
AAPL,Apple Inc.,AAPL,2025-05-27,197.6984,200.131,196.831,199.6026,56288500
AAPL,Apple Inc.,AAPL,2025-05-28,199.9814,202.115,199.2935,199.812,45339700
AAPL,Apple Inc.,AAPL,2025-05-29,202.9624,203.1917,197.9077,199.3434,51396800
AAPL,Apple Inc.,AAPL,2025-05-30,198.7651,201.3473,196.183,200.2407,70819900
AAPL,Apple Inc.,AAPL,2025-06-02,199.6724,201.5168,199.5129,201.0881,35423300
AAPL,Apple Inc.,AAPL,2025-06-03,200.7391,203.1518,200.3503,202.6533,46381600
AAPL,Apple Inc.,AAPL,2025-06-04,202.2944,205.6143,201.4869,202.2047,43604000
AAPL,Apple Inc.,AAPL,2025-06-05,202.8826,204.1288,199.5428,200.0213,55126100
AAPL,Apple Inc.,AAPL,2025-06-06,202.3841,205.0759,201.437,203.3013,46607700
AAPL,Apple Inc.,AAPL,2025-06-09,203.7699,205.375,199.4132,200.8388,72862600
AAPL,Apple Inc.,AAPL,2025-06-10,199.9914,203.73,199.9615,202.0551,54672600
AAPL,Apple Inc.,AAPL,2025-06-11,202.8826,203.8796,197.8081,198.1769,60989900
AAPL,Apple Inc.,AAPL,2025-06-12,198.476,199.0742,196.7612,198.5957,43904600
AAPL,Apple Inc.,AAPL,2025-06-13,199.1241,199.7621,195.1063,195.854,51447300
AAPL,Apple Inc.,AAPL,2025-06-16,196.7014,198.0872,195.9637,197.818,43020700
AAPL,Apple Inc.,AAPL,2025-06-17,196.6017,197.7881,194.6178,195.0465,38856200
AAPL,Apple Inc.,AAPL,2025-06-18,195.3455,196.9706,194.4782,195.9836,45394700
AAPL,Apple Inc.,AAPL,2025-06-20,197.6386,201.0881,196.2628,200.3902,96813500
AAPL,Apple Inc.,AAPL,2025-06-23,201.0183,201.6862,198.3564,200.8887,55814300
AAPL,Apple Inc.,AAPL,2025-06-24,201.9754,202.8228,199.5926,199.6923,54064000
AAPL,Apple Inc.,AAPL,2025-06-25,200.8388,203.0521,200.0113,200.9485,39525700
AAPL,Apple Inc.,AAPL,2025-06-26,200.8189,202.0252,198.8549,200.3902,50799100
AAPL,Apple Inc.,AAPL,2025-06-27,201.2775,202.6035,199.3932,200.47,73188600
AAPL,Apple Inc.,AAPL,2025-06-30,201.3971,206.7608,198.6555,204.5475,91912800
AAPL,Apple Inc.,AAPL,2025-07-01,206.043,209.5523,205.5146,207.1895,78788900
AAPL,Apple Inc.,AAPL,2025-07-02,208.2762,212.6927,207.5085,211.7955,67941800
AAPL,Apple Inc.,AAPL,2025-07-03,211.5064,213.9988,211.1674,212.9021,34955800
AAPL,Apple Inc.,AAPL,2025-07-07,212.0348,215.574,208.1665,209.313,50229000
AAPL,Apple Inc.,AAPL,2025-07-08,209.4626,210.7885,207.8176,209.3728,42848900
AAPL,Apple Inc.,AAPL,2025-07-09,208.8943,210.6889,206.5913,210.4994,48749400
AAPL,Apple Inc.,AAPL,2025-07-10,209.8713,212.8323,209.3928,211.7656,44443600
AAPL,Apple Inc.,AAPL,2025-07-11,209.9312,211.4864,209.2233,210.5194,39765800
AAPL,Apple Inc.,AAPL,2025-07-14,209.2931,210.2701,206.9103,207.9871,38840100
AAPL,Apple Inc.,AAPL,2025-07-15,208.5853,211.2472,208.2862,208.4756,42296300
AAPL,Apple Inc.,AAPL,2025-07-16,209.662,211.7556,208.007,209.5224,47490500
AAPL,Apple Inc.,AAPL,2025-07-17,209.9312,211.1574,208.9541,209.3828,48068100
AAPL,Apple Inc.,AAPL,2025-07-18,210.2302,211.1475,209.0638,210.5393,48974600
AAPL,Apple Inc.,AAPL,2025-07-21,211.4565,215.1253,210.9879,211.8354,51377400
AAPL,Apple Inc.,AAPL,2025-07-22,212.4934,214.2979,211.5861,213.7495,46404100
AAPL,Apple Inc.,AAPL,2025-07-23,214.3477,214.4973,211.7656,213.5003,46989300
AAPL,Apple Inc.,AAPL,2025-07-24,213.2511,215.0356,212.8822,213.1115,46022600
AAPL,Apple Inc.,AAPL,2025-07-25,214.0486,214.587,212.7526,213.2311,40268800
AAPL,Apple Inc.,AAPL,2025-07-28,213.3807,214.1982,212.4136,213.4006,37858000
AAPL,Apple Inc.,AAPL,2025-07-29,213.5302,214.1583,210.1804,210.629,51411700
AAPL,Apple Inc.,AAPL,2025-07-30,211.2571,211.7457,207.0898,208.4158,45512500
AAPL,Apple Inc.,AAPL,2025-07-31,207.8575,209.2034,206.5315,206.9403,80698400
AAPL,Apple Inc.,AAPL,2025-08-01,210.2302,212.932,200.8887,201.766,104434500
AAPL,Apple Inc.,AAPL,2025-08-04,203.8895,207.2493,201.0681,202.7331,75109300
AAPL,Apple Inc.,AAPL,2025-08-05,202.7829,204.717,201.5467,202.3044,44155100
AAPL,Apple Inc.,AAPL,2025-08-06,205.0062,214.7266,204.9663,212.603,108483100
AAPL,Apple Inc.,AAPL,2025-08-07,218.216,220.18,215.9229,219.3625,90224800
AAPL,Apple Inc.,AAPL,2025-08-08,220.16,230.2992,218.5848,228.6542,113854000
AAPL,Apple Inc.,AAPL,2025-08-11,227.4864,229.1233,224.3324,226.7478,61806100
AAPL,Apple Inc.,AAPL,2025-08-12,227.5762,230.3609,226.638,229.2131,55626200
AAPL,Apple Inc.,AAPL,2025-08-13,230.6304,234.5529,229.9916,232.8861,69878500
AAPL,Apple Inc.,AAPL,2025-08-14,233.6147,234.6727,230.4108,232.3372,51916300
AAPL,Apple Inc.,AAPL,2025-08-15,233.5548,233.8343,228.9037,231.1494,56038700
AAPL,Apple Inc.,AAPL,2025-08-18,231.2592,232.6765,229.6722,230.4508,37476200
AAPL,Apple Inc.,AAPL,2025-08-19,230.84,232.427,228.9137,230.1214,39402600
AAPL,Apple Inc.,AAPL,2025-08-20,229.5425,230.0316,225.3405,225.58,42263900
AAPL,Apple Inc.,AAPL,2025-08-21,225.8396,226.0891,223.3543,224.4722,30621200
AAPL,Apple Inc.,AAPL,2025-08-22,225.7397,228.6542,224.9812,227.3267,42477800
AAPL,Apple Inc.,AAPL,2025-08-25,226.0491,228.8638,225.7996,226.7278,30983100
AAPL,Apple Inc.,AAPL,2025-08-26,226.4384,229.0534,224.2626,228.8738,54575100
AAPL,Apple Inc.,AAPL,2025-08-27,228.1751,230.4607,227.8258,230.0515,31259500
AAPL,Apple Inc.,AAPL,2025-08-28,230.3809,232.966,228.9037,232.1176,38074700
